cip4,cip_desc
2401,"Liberal Arts and Sciences, General Studies and Humanities."
3802,Religion/Religious Studies.
3906,Theological and Ministerial Studies.
3999,"Theology and Religious Vocations, Other."
4400,"Human Services, General."
5009,Music.
5207,Entrepreneurial and Small Business Operations.
1204,Cosmetology and Related Personal Grooming Services.
1504,Electromechanical Instrumentation and Maintenance Technologies/Technicians.
4603,Electrical and Power Transmission Installers.
4701,Electrical/Electronics Maintenance and Repair Technology.
4703,Heavy/Industrial Equipment Maintenance Technologies.
4706,Vehicle Maintenance and Repair Technologies.
4805,Precision Metal Working.
5108,Allied Health and Medical Assisting Services.
5139,"Practical Nursing, Vocational Nursing and Nursing Assistants."
5204,Business Operations Support and Assistant Services.
0100,"Agriculture, General."
0901,Communication and Media Studies.
0904,Journalism.
1101,"Computer and Information Sciences, General."
1105,Computer Systems Analysis.
1107,Computer Science.
1310,Special Education and Teaching.
1312,"Teacher Education and Professional Development, Specific Levels and Methods."
1313,"Teacher Education and Professional Development, Specific Subject Areas."
1412,Engineering Physics.
1500,"Engineering Technology, General."
1506,Industrial Production Technologies/Technicians.
1601,"Linguistic, Comparative, and Related Language Studies and Services."
2301,"English Language and Literature, General."
2601,"Biology, General."
2701,Mathematics.
3105,Health and Physical Education/Fitness.
3801,Philosophy.
4005,Chemistry.
4006,Geological and Earth Sciences/Geosciences.
4008,Physics.
4201,"Psychology, General."
4301,Criminal Justice and Corrections.
4407,Social Work.
4510,Political Science and Government.
4511,Sociology.
4901,Air Transportation.
5005,Drama/Theatre Arts and Stagecraft.
5007,Fine and Studio Arts.
5109,"Allied Health Diagnostic, Intervention, and Treatment Professions."
5110,Clinical/Medical Laboratory Science/Research and Allied Professions.
5111,Health/Medical Preparatory Programs.
5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing."
5201,"Business/Commerce, General."
5202,"Business Administration, Management and Operations."
5203,Accounting and Related Services.
5208,Finance and Financial Management Services.
5214,Marketing.
5401,History.
5107,Health and Medical Administrative Services.
5122,Public Health.
0301,Natural Resources Conservation and Research.
0402,Architecture.
0408,Architectural History and Criticism.
0501,Area Studies.
0909,"Public Relations, Advertising, and Applied Communication."
0910,Publishing.
1002,Audiovisual Communications Technologies/Technicians.
1108,Computer Software and Media Applications.
1304,Educational Administration and Supervision.
1605,"Germanic Languages, Literatures, and Linguistics."
1609,"Romance Languages, Literatures, and Linguistics."
1611,"Middle/Near Eastern and Semitic Languages, Literatures, and Linguistics."
2200,Non-Professional General Legal Studies (Undergraduate).
2602,"Biochemistry, Biophysics and Molecular Biology."
2615,Neurobiology and Neurosciences.
2703,Applied Mathematics.
3099,"Multi/Interdisciplinary Studies, Other."
3800,"Philosophy and Religious Studies, General."
3902,Bible/Biblical Studies.
3905,Religious/Sacred Music.
4506,Economics.
4509,International Relations and National Security Studies.
5004,Design and Applied Arts.
5006,Film/Video and Photographic Arts.
5010,"Arts, Entertainment,and Media Management."
5120,"Pharmacy, Pharmaceutical Sciences, and Administration."
5123,Rehabilitation and Therapeutic Professions.
5206,Business/Managerial Economics.
5211,International Business.
5212,Management Information Systems and Services.
5213,Management Sciences and Quantitative Methods.
5219,"Specialized Sales, Merchandising and  Marketing Operations."
1301,"Education, General."
2613,"Ecology, Evolution, Systematics, and Population Biology."
3005,Peace Studies and Conflict Resolution.
4228,"Clinical, Counseling and Applied Psychology."
4299,"Psychology, Other."
4303,Homeland Security.
5100,"Health Services/Allied Health/Health Sciences, General."
1401,"Engineering, General."
2313,Rhetoric and Composition/Writing Studies.
3001,Biological and Physical Sciences.
3008,Mathematics and Computer Science.
3010,Biopsychology.
3071,Data Analytics.
3904,Religious Education.
5299,"Business, Management, Marketing, and Related Support Services, Other."
1499,"Engineering, Other."
1901,"Family and Consumer Sciences/Human Sciences, General."
1902,Family and Consumer Sciences/Human Sciences Business Services.
1904,Family and Consumer Economics and Related Studies.
1905,"Foods, Nutrition, and Related Services."
1906,Housing and Human Environments.
1907,"Human Development, Family Studies, and Related Services."
1909,Apparel and Textiles.
2699,"Biological and Biomedical Sciences, Other."
3101,"Parks, Recreation and Leisure Studies."
3899,"Philosophy and Religious Studies, Other."
4599,"Social Sciences, Other."
5131,Dietetics and Clinical Nutrition Services.
0106,Applied Horticulture and Horticultural Business Services.
0183,Veterinary/Animal Health Technologies/Technicians.
1503,Electrical Engineering Technologies/Technicians.
1507,Quality Control and Safety Technologies/Technicians.
1508,Mechanical Engineering Related Technologies/Technicians.
1513,Drafting/Design Engineering Technologies/Technicians.
2203,Legal Support Services.
3000,"Multi-/Interdisciplinary Studies, General."
3201,Basic Skills and Developmental/Remedial Education.
4103,Physical Science Technologies/Technicians.
4302,Fire Protection.
4402,Community Organization and Advocacy.
4702,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR)."
4902,Ground Transportation.
5106,Dental Support Services and Allied Professions.
5135,Somatic Bodywork and Related Therapeutic Services.
5199,"Health Professions and Related Clinical Sciences, Other."
5209,Hospitality Administration/Management.
0502,"Ethnic, Cultural Minority, Gender, and Group Studies."
1110,Computer/Information Technology Administration and Management.
1407,Chemical Engineering.
1408,Civil Engineering.
1409,Computer Engineering.
1410,"Electrical, Electronics and Communications Engineering."
1419,Mechanical Engineering.
1443,Biochemical Engineering.
1515,Engineering-Related Fields.
2611,"Biomathematics, Bioinformatics, and Computational Biology."
3018,Natural Sciences.
3033,Sustainability Studies.
4304,Security Science and Technology.
5205,Business/Corporate Communications.
5220,Construction Management.
1109,Computer Systems Networking and Telecommunications.
1502,Civil Engineering Technologies/Technicians.
1505,Environmental Control Technologies/Technicians.
1517,Energy Systems Technologies/Technicians.
4499,"Public Administration and Social Service Professions, Other."
4604,"Building/Construction Finishing, Management, and Inspection."
5127,Medical Illustration and Informatics.
3103,"Parks, Recreation and Leisure Facilities Management."
4501,"Social Sciences, General."
2314,Literature.
3903,Missions/Missionary Studies and Missiology.
3907,Pastoral Counseling and Specialized Ministries.
4404,Public Administration.
4512,Urban Studies/Affairs.
5001,"Visual and Performing Arts, General."
5210,Human Resources Management and Services.
1104,Information Science/Studies.
1003,Graphic Communications.
1511,Engineering-Related Technologies.
2605,Microbiological Sciences and Immunology.
4502,Anthropology.
4507,Geography and Cartography.
4605,Plumbing and Related Water Supply Services.
3070,Data Science.
2604,Cell/Cellular Biology and Anatomical Sciences.
3023,Intercultural/Multicultural and Diversity Studies.
4227,Research and Experimental Psychology.
4699,"Construction Trades, Other."
1203,Funeral Service and Mortuary Science.
1302,"Bilingual, Multilingual, and Multicultural Education."
1314,Teaching English or French as a Second or Foreign Language.
5115,Mental and Social Health Services and Allied Professions.
0907,"Radio, Television, and Digital Communication."
3046,History and Political Science.
3601,Leisure and Recreational Activities.
0110,Food Science and Technology.
1315,Teaching Assistants/Aides.
0999,"Communication, Journalism, and Related Programs, Other."
1399,"Education, Other."
1612,"Classics and Classical Languages, Literatures, and Linguistics."
2305,Creative Writing.
3020,International/Global Studies.
3199,"Parks, Recreation, Leisure, and Fitness Studies, Other."
4504,Criminology.
0306,Wildlife and Wildlands Science and Management.
5116,Nursing.
3017,Behavioral Sciences.
0302,Natural Resources Management and Policy.
1616,American Sign Language.
2610,Pharmacology and Toxicology.
4601,Mason/Masonry.
0404,Environmental Design.
1205,Culinary Arts and Related Services.
1405,Biomedical/Medical Engineering.
0101,Agricultural Business and Management.
0103,Agricultural Production Operations.
0109,Animal Sciences.
0111,Plant Sciences.
1442,"Mechatronics, Robotics, and Automation Engineering."
1510,Construction Engineering Technologies.
5003,Dance.
5102,Communication Disorders Sciences and Services.
5217,Insurance.
0409,Architectural Sciences and Technology.
1501,Architectural Engineering Technologies/Technicians.
1512,Computer Engineering Technologies/Technicians.
5218,"General Sales, Merchandising and Related Marketing Operations."
5132,Bioethics/Medical Ethics.
4199,"Science Technologies/Technicians, Other."
5118,Ophthalmic and Optometric Support Services and Allied Professions.
1102,Computer Programming.
2612,Biotechnology.
4799,"Mechanic and Repair Technologies/Technicians, Other."
0305,Forestry.
1604,"Slavic, Baltic and Albanian Languages, Literatures, and Linguistics."
3013,Medieval and Renaissance Studies.
5105,Advanced/Graduate Dentistry and Oral Sciences.
1001,Communications Technology/Technician.
1099,"Communications Technologies/Technicians and Support Services, Other."
1199,"Computer and Information Sciences and Support Services, Other."
1303,Curriculum and Instruction.
3014,Museology/Museum Studies.
4503,Archeology.
0108,Agricultural Public Services.
0112,Soil Sciences.
0199,"Agriculture, Agriculture Operations, and Related Sciences, Other."
0405,Interior Architecture.
1402,"Aerospace, Aeronautical and Astronautical Engineering."
1403,Agricultural Engineering.
1418,Materials Engineering
1423,Nuclear Engineering.
1435,Industrial Engineering.
1699,"Foreign Languages, Literatures, and Linguistics, Other."
1999,"Family and Consumer Sciences/Human Sciences, Other."
2399,"English Language and Literature/Letters, Other."
2705,Statistics.
2799,"Mathematics and Statistics, Other."
3019,Nutrition Sciences.
5099,"Visual and Performing Arts, Other."
1404,Architectural Engineering.
4405,Public Policy Analysis.
2603,Botany/Plant Biology.
2607,Zoology/Animal Biology.
3026,Cultural Studies/Critical Theory and Analysis.
1413,Engineering Science.
3015,"Science, Technology and Society."
3022,Classical and Ancient Studies.
3025,Cognitive Science.
0105,Agricultural and Domestic Animal Services.
1103,Data Processing.
1106,Data Entry/Microcomputer Applications.
5126,Health Aides/Attendants/Orderlies.
